TestNo,MutantNo
1,21
1,37
1,349
1,351
2,21
2,23
2,25
2,28
2,31
2,33
2,36
2,37
2,38
2,39
2,131
2,132
2,137
2,138
2,349
2,351
2,357
2,361
2,362
2,364
2,376
2,380
2,385
2,387
2,403
2,404
3,21
3,23
3,25
3,28
3,31
3,33
3,36
3,37
3,38
3,39
3,62
3,64
3,90
3,93
3,95
3,131
3,132
3,137
3,138
3,349
3,351
3,357
3,361
3,362
3,364
3,385
3,387
3,398
3,403
3,404
3,405
3,406
3,408
3,409
3,411
3,412
3,413
3,415
3,416
3,418
3,421
3,422
3,423
4,21
4,23
4,25
4,28
4,31
4,33
4,36
4,37
4,38
4,39
4,131
4,132
4,137
4,138
4,349
4,351
4,357
4,361
4,362
4,364
4,376
4,380
4,385
4,387
4,403
4,404
5,21
5,23
5,25
5,28
5,31
5,33
5,36
5,37
5,38
5,39
5,62
5,64
5,90
5,93
5,95
5,131
5,132
5,137
5,138
5,349
5,351
5,357
5,361
5,362
5,364
5,385
5,387
5,398
5,403
5,404
5,405
5,406
5,408
5,409
5,411
5,412
5,413
5,415
5,416
5,418
5,421
5,422
5,423
6,21
6,23
6,25
6,28
6,31
6,33
6,36
6,37
6,38
6,39
6,131
6,132
6,137
6,349
6,351
6,429
6,430
6,431
6,432
6,433
6,434
6,435
6,438
6,439
6,442
7,20
7,21
7,23
7,25
7,26
7,27
7,28
7,31
7,33
7,36
7,37
7,62
7,64
7,90
7,93
7,95
7,114
7,131
7,179
7,180
7,181
7,184
7,202
7,207
7,209
7,216
7,217
7,258
7,349
7,351
7,449
7,450
7,451
7,452
7,695
7,697
7,698
7,699
7,700
7,701
7,702
7,705
8,3
8,9
8,15
8,17
8,21
8,23
8,25
8,28
8,31
8,33
8,36
8,37
8,42
8,44
8,55
8,56
8,61
8,62
8,64
8,65
8,66
8,67
8,75
8,79
8,80
8,81
8,82
8,83
8,87
8,89
8,90
8,92
8,93
8,95
8,96
8,97
8,113
8,114
8,123
8,125
8,127
8,131
8,132
8,137
8,138
8,148
8,151
8,152
8,156
8,157
8,162
8,179
8,180
8,181
8,184
8,188
8,191
8,192
8,194
8,195
8,197
8,200
8,202
8,207
8,210
8,269
8,270
8,273
8,275
8,277
8,278
8,282
8,285
8,286
8,288
8,289
8,291
8,295
8,302
8,305
8,312
8,315
8,317
8,318
8,349
8,351
8,540
8,541
8,543
8,544
8,545
8,547
8,548
8,549
8,551
8,553
8,555
8,563
8,566
8,567
8,569
8,572
8,573
8,574
8,695
8,697
8,698
8,699
8,700
8,701
8,702
8,705
9,348
9,352
9,353
10,354
11,20
11,21
11,23
11,25
11,28
11,31
11,33
11,36
11,37
11,38
11,62
11,64
11,90
11,93
11,95
11,114
11,131
11,179
11,181
11,200
11,201
11,202
11,207
11,209
11,210
11,219
11,220
11,221
11,222
11,223
11,224
11,225
11,226
11,227
11,228
11,229
11,230
11,231
11,232
11,234
11,349
11,351
11,695
11,697
11,698
11,699
11,700
11,701
11,702
11,705
12,21
12,23
12,25
12,28
12,31
12,33
12,36
12,37
12,38
12,39
12,131
12,132
12,137
12,349
12,351
12,455
12,456
12,457
12,458
12,460
13,695
13,697
13,698
13,699
13,700
13,701
13,702
13,705
14,21
14,23
14,25
14,28
14,31
14,33
14,36
14,37
14,38
14,39
14,62
14,64
14,90
14,93
14,95
14,131
14,132
14,137
14,138
14,349
14,351
14,357
14,361
14,362
14,364
14,376
14,403
14,404
14,405
14,406
14,408
14,409
14,411
14,412
14,413
14,416
14,418
14,422
14,423
15,21
15,23
15,25
15,28
15,31
15,33
15,36
15,37
15,38
15,39
15,62
15,64
15,90
15,93
15,95
15,131
15,132
15,137
15,138
15,349
15,351
15,357
15,361
15,362
15,364
15,376
15,403
15,404
15,405
15,406
15,408
15,409
15,411
15,412
15,413
15,416
15,418
15,422
15,423
16,16
16,20
16,21
16,23
16,25
16,28
16,30
16,31
16,33
16,34
16,35
16,36
16,37
16,43
16,55
16,62
16,64
16,67
16,80
16,84
16,90
16,93
16,95
16,120
16,122
16,131
16,132
16,137
16,148
16,179
16,181
16,202
16,207
16,209
16,213
16,214
16,216
16,217
16,245
16,258
16,279
16,280
16,281
16,284
16,286
16,288
16,289
16,291
16,292
16,297
16,301
16,307
16,310
16,312
16,316
16,319
16,349
16,351
16,541
16,543
16,695
16,697
16,698
16,699
16,700
16,701
16,702
16,705
17,348
17,349
17,351
17,352
18,23
18,25
18,28
18,31
18,33
18,36
18,38
18,39
18,470
18,471
18,472
18,473
18,474
18,475
18,476
18,479
19,21
19,23
19,25
19,28
19,31
19,33
19,36
19,37
19,38
19,39
19,131
19,132
19,137
19,349
19,351
19,357
19,358
19,360
19,361
19,362
19,364
19,367
19,368
19,371
19,380
19,384
19,385
19,387
19,388
19,391
19,401
19,402
20,21
20,37
20,89
20,90
20,93
20,95
20,140
20,141
20,151
20,156
20,161
20,348
20,349
20,351
20,352
20,353
21,21
21,23
21,25
21,28
21,31
21,33
21,36
21,37
21,38
21,39
21,131
21,132
21,137
21,349
21,351
21,357
21,358
21,360
21,361
21,362
21,364
21,367
21,368
21,371
21,380
21,384
21,385
21,387
21,388
21,391
21,401
21,402
22,23
22,25
22,28
22,31
22,33
22,90
22,93
22,95
23,17
23,21
23,23
23,25
23,28
23,31
23,33
23,36
23,37
23,38
23,39
23,44
23,62
23,64
23,67
23,75
23,79
23,80
23,87
23,90
23,93
23,95
23,127
23,131
23,132
23,137
23,138
23,188
23,191
23,349
23,351
23,430
23,431
23,432
23,433
23,434
23,435
23,438
23,445
24,17
24,21
24,23
24,25
24,28
24,31
24,33
24,36
24,37
24,38
24,39
24,44
24,62
24,64
24,67
24,75
24,79
24,80
24,87
24,90
24,93
24,95
24,127
24,131
24,132
24,137
24,138
24,188
24,191
24,349
24,351
24,456
24,458
24,460
24,461
25,20
25,23
25,25
25,28
25,31
25,33
25,37
25,179
25,181
25,257
25,259
26,21
26,23
26,25
26,28
26,31
26,33
26,37
26,62
26,64
26,90
26,93
26,95
26,114
26,131
26,179
26,180
26,181
26,184
26,200
26,201
26,202
26,205
26,207
26,208
26,209
26,349
26,351
26,695
26,697
26,698
26,699
26,700
26,701
26,702
26,705
27,23
27,25
27,31
27,33
27,51
27,54
27,55
27,56
27,69
27,72
27,73
27,74
27,91
27,92
27,93
27,95
27,96
27,97
27,270
27,273
27,275
27,332
27,626
27,628
27,629
27,630
27,631
27,632
27,633
27,634
27,636
27,637
27,638
27,640
27,641
27,642
27,643
27,645
27,646
27,647
28,3
28,9
28,15
28,16
28,20
28,21
28,23
28,25
28,26
28,27
28,28
28,30
28,31
28,33
28,34
28,35
28,36
28,37
28,38
28,39
28,42
28,43
28,55
28,56
28,61
28,62
28,64
28,65
28,66
28,67
28,75
28,79
28,80
28,81
28,83
28,84
28,90
28,92
28,93
28,95
28,96
28,97
28,114
28,115
28,117
28,131
28,138
28,148
28,179
28,180
28,181
28,184
28,202
28,207
28,209
28,210
28,216
28,217
28,258
28,269
28,270
28,273
28,275
28,277
28,278
28,279
28,280
28,281
28,282
28,284
28,285
28,286
28,288
28,289
28,291
28,292
28,295
28,297
28,302
28,304
28,305
28,315
28,319
28,349
28,351
28,448
28,449
28,450
28,451
28,452
28,695
28,697
28,698
28,699
28,700
28,701
28,702
28,705
29,3
29,9
29,15
29,21
29,23
29,25
29,28
29,31
29,33
29,37
29,42
29,56
29,62
29,64
29,65
29,66
29,69
29,72
29,73
29,74
29,75
29,79
29,81
29,83
29,90
29,93
29,95
29,96
29,97
29,114
29,125
29,131
29,138
29,179
29,180
29,181
29,184
29,200
29,202
29,207
29,210
29,269
29,270
29,273
29,275
29,277
29,278
29,282
29,285
29,286
29,288
29,289
29,291
29,295
29,302
29,305
29,315
29,318
29,349
29,351
29,540
29,541
29,543
29,544
29,545
30,3
30,9
30,15
30,21
30,23
30,25
30,28
30,31
30,33
30,37
30,42
30,56
30,61
30,62
30,64
30,65
30,66
30,79
30,81
30,83
30,90
30,92
30,93
30,95
30,96
30,97
30,114
30,125
30,131
30,138
30,180
30,179
30,181
30,184
30,200
30,202
30,207
30,210
30,266
30,270
30,273
30,275
30,277
30,278
30,279
30,280
30,281
30,282
30,284
30,285
30,286
30,288
30,289
30,291
30,292
30,296
30,297
30,302
30,304
30,305
30,315
30,318
30,328
30,349
30,351
31,3
31,9
31,15
31,17
31,21
31,23
31,25
31,28
31,31
31,33
31,36
31,37
31,42
31,44
31,55
31,56
31,61
31,62
31,64
31,65
31,66
31,67
31,75
31,79
31,80
31,81
31,83
31,87
31,89
31,90
31,92
31,93
31,95
31,96
31,97
31,112
31,113
31,114
31,123
31,125
31,127
31,131
31,132
31,137
31,138
31,148
31,151
31,152
31,156
31,157
31,179
31,180
31,181
31,184
31,188
31,191
31,192
31,194
31,195
31,197
31,200
31,202
31,207
31,210
31,269
31,270
31,273
31,275
31,277
31,278
31,282
31,285
31,286
31,288
31,289
31,291
31,295
31,302
31,305
31,312
31,315
31,317
31,318
31,349
31,351
31,540
31,541
31,543
31,544
31,545
31,547
31,548
31,551
31,553
31,555
31,560
31,563
31,566
31,567
31,569
31,572
31,695
31,696
31,697
31,698
31,699
31,700
31,701
31,702
31,705
32,3
32,9
32,15
32,21
32,23
32,25
32,28
32,31
32,33
32,37
32,42
32,55
32,56
32,61
32,62
32,64
32,65
32,66
32,68
32,69
32,72
32,73
32,75
32,79
32,81
32,83
32,90
32,92
32,93
32,95
32,96
32,97
32,114
32,125
32,131
32,132
32,137
32,138
32,179
32,180
32,181
32,184
32,200
32,202
32,207
32,210
32,269
32,270
32,273
32,275
32,277
32,278
32,282
32,285
32,286
32,288
32,289
32,291
32,295
32,302
32,305
32,315
32,317
32,318
32,349
32,351
32,540
32,541
32,543
32,544
32,545
32,548
32,551
32,553
32,555
32,561
32,563
32,566
32,567
32,568
32,569
32,570
32,572
33,3
33,9
33,15
33,21
33,23
33,25
33,31
33,33
33,37
33,42
33,51
33,52
33,54
33,55
33,56
33,62
33,64
33,65
33,66
33,69
33,72
33,73
33,74
33,75
33,79
33,81
33,83
33,91
33,92
33,93
33,95
33,96
33,97
33,114
33,131
33,138
33,179
33,180
33,181
33,184
33,200
33,202
33,207
33,210
33,269
33,270
33,273
33,275
33,277
33,278
33,282
33,285
33,286
33,288
33,289
33,291
33,295
33,302
33,305
33,315
33,318
33,332
33,349
33,351
33,626
33,628
33,629
33,630
33,631
33,632
33,633
33,634
33,636
33,637
33,638
33,640
33,641
33,642
33,643
33,645
33,646
33,647
33,654
33,655
33,656
33,657
33,658
33,659
33,660
33,661
33,662
33,663
33,664
33,665
33,666
33,667
33,668
33,669
33,670
33,671
33,672
33,673
33,674
33,675
33,676
33,677
34,20
34,21
34,23
34,25
34,28
34,30
34,31
34,33
34,34
34,35
34,37
34,55
34,62
34,64
34,90
34,93
34,95
34,131
34,179
34,181
34,202
34,207
34,216
34,258
34,278
34,286
34,288
34,289
34,291
34,349
34,351
34,541
34,543
35,20
35,21
35,23
35,25
35,28
35,31
35,33
35,37
35,55
35,62
35,64
35,90
35,93
35,95
35,131
35,179
35,181
35,200
35,201
35,202
35,207
35,209
35,219
35,220
35,221
35,222
35,223
35,224
35,225
35,226
35,227
35,228
35,229
35,230
35,231
35,232
35,234
35,286
35,288
35,289
35,291
35,349
35,351
35,541
35,543
35,695
35,697
35,698
35,699
35,700
35,701
35,702
35,705
