MutantNo,[FAIL | TIME | EXC | LIVE]
3,FAIL
7,LIVE
9,FAIL
15,FAIL
16,FAIL
17,FAIL
20,FAIL
21,FAIL
22,LIVE
23,FAIL
24,LIVE
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,LIVE
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
42,FAIL
43,FAIL
44,FAIL
45,LIVE
46,LIVE
50,LIVE
51,FAIL
52,FAIL
53,LIVE
54,FAIL
55,FAIL
56,FAIL
61,FAIL
62,FAIL
63,LIVE
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,LIVE
71,LIVE
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,LIVE
77,LIVE
78,LIVE
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,LIVE
87,FAIL
88,LIVE
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,LIVE
95,FAIL
96,FAIL
97,FAIL
110,LIVE
111,LIVE
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,LIVE
117,FAIL
119,LIVE
120,FAIL
121,LIVE
122,FAIL
123,FAIL
125,FAIL
127,FAIL
130,LIVE
131,FAIL
132,FAIL
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,FAIL
138,FAIL
139,LIVE
140,FAIL
141,FAIL
145,LIVE
146,LIVE
147,LIVE
148,FAIL
151,FAIL
152,FAIL
153,LIVE
154,LIVE
155,LIVE
156,FAIL
157,FAIL
158,LIVE
159,LIVE
160,LIVE
161,FAIL
162,FAIL
178,LIVE
179,FAIL
180,FAIL
181,FAIL
182,LIVE
183,LIVE
184,FAIL
185,LIVE
186,LIVE
187,LIVE
188,FAIL
189,LIVE
190,LIVE
191,FAIL
192,FAIL
193,LIVE
194,FAIL
195,FAIL
196,LIVE
197,FAIL
198,LIVE
199,LIVE
200,FAIL
201,FAIL
202,FAIL
203,LIVE
204,LIVE
205,FAIL
206,LIVE
207,FAIL
208,FAIL
209,FAIL
210,FAIL
211,LIVE
212,LIVE
213,FAIL
214,FAIL
215,LIVE
216,FAIL
217,FAIL
219,FAIL
220,FAIL
221,FAIL
222,FAIL
223,FAIL
224,FAIL
225,FAIL
226,FAIL
227,FAIL
228,FAIL
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,LIVE
234,FAIL
235,LIVE
236,LIVE
237,LIVE
238,LIVE
239,LIVE
240,LIVE
241,LIVE
242,LIVE
243,LIVE
244,LIVE
245,FAIL
246,LIVE
247,LIVE
248,LIVE
249,LIVE
250,LIVE
251,LIVE
252,LIVE
253,LIVE
254,LIVE
255,LIVE
256,LIVE
257,FAIL
258,FAIL
259,FAIL
266,FAIL
267,LIVE
268,LIVE
269,FAIL
270,FAIL
271,LIVE
272,LIVE
273,FAIL
274,LIVE
275,FAIL
276,LIVE
277,FAIL
278,FAIL
279,FAIL
280,FAIL
281,FAIL
282,FAIL
283,LIVE
284,FAIL
285,FAIL
286,FAIL
287,LIVE
288,FAIL
289,FAIL
290,LIVE
291,FAIL
292,FAIL
293,LIVE
294,LIVE
295,FAIL
296,FAIL
297,FAIL
298,LIVE
299,LIVE
300,LIVE
301,FAIL
302,FAIL
303,LIVE
304,FAIL
305,FAIL
306,LIVE
307,FAIL
308,LIVE
309,LIVE
310,FAIL
311,LIVE
312,FAIL
313,LIVE
314,LIVE
315,FAIL
316,FAIL
317,FAIL
318,FAIL
319,FAIL
320,LIVE
321,LIVE
322,LIVE
327,LIVE
328,FAIL
329,LIVE
332,FAIL
333,LIVE
334,LIVE
335,LIVE
336,LIVE
338,LIVE
348,FAIL
349,FAIL
350,LIVE
351,FAIL
352,FAIL
353,FAIL
354,FAIL
355,LIVE
356,LIVE
357,FAIL
358,FAIL
359,LIVE
360,FAIL
361,FAIL
362,FAIL
363,LIVE
364,FAIL
365,LIVE
366,LIVE
367,FAIL
368,FAIL
369,LIVE
370,LIVE
371,FAIL
372,LIVE
373,LIVE
374,LIVE
375,LIVE
376,FAIL
377,LIVE
378,LIVE
379,LIVE
380,FAIL
381,LIVE
382,LIVE
383,LIVE
384,FAIL
385,FAIL
386,LIVE
387,FAIL
388,FAIL
389,LIVE
390,LIVE
391,FAIL
392,LIVE
393,LIVE
394,LIVE
395,LIVE
396,LIVE
397,LIVE
398,FAIL
399,LIVE
400,LIVE
401,FAIL
402,FAIL
403,FAIL
404,FAIL
405,FAIL
406,FAIL
407,LIVE
408,FAIL
409,FAIL
410,LIVE
411,FAIL
412,FAIL
413,FAIL
414,LIVE
415,FAIL
416,FAIL
417,LIVE
418,FAIL
419,LIVE
420,LIVE
421,FAIL
422,FAIL
423,FAIL
429,FAIL
430,FAIL
431,FAIL
432,FAIL
433,FAIL
434,FAIL
435,FAIL
436,LIVE
437,LIVE
438,FAIL
439,FAIL
440,LIVE
441,LIVE
442,FAIL
443,LIVE
444,LIVE
445,FAIL
448,FAIL
449,FAIL
450,FAIL
451,FAIL
452,FAIL
455,FAIL
456,FAIL
457,FAIL
458,FAIL
459,LIVE
460,FAIL
461,FAIL
470,FAIL
471,FAIL
472,FAIL
473,FAIL
474,FAIL
475,FAIL
476,FAIL
477,LIVE
478,LIVE
479,FAIL
480,LIVE
481,LIVE
482,LIVE
483,LIVE
484,LIVE
485,LIVE
540,FAIL
541,FAIL
542,LIVE
543,FAIL
544,FAIL
545,FAIL
546,LIVE
547,FAIL
548,FAIL
549,FAIL
551,FAIL
552,LIVE
553,FAIL
555,FAIL
556,LIVE
557,LIVE
558,LIVE
560,FAIL
561,FAIL
562,LIVE
563,FAIL
564,LIVE
565,LIVE
566,FAIL
567,FAIL
568,FAIL
569,FAIL
570,FAIL
571,LIVE
572,FAIL
573,FAIL
574,FAIL
575,LIVE
576,LIVE
626,FAIL
627,LIVE
628,FAIL
629,FAIL
630,FAIL
631,FAIL
632,FAIL
633,FAIL
634,FAIL
635,LIVE
636,FAIL
637,FAIL
638,FAIL
639,LIVE
640,FAIL
641,FAIL
642,FAIL
643,FAIL
644,LIVE
645,FAIL
646,FAIL
647,FAIL
654,FAIL
655,FAIL
656,FAIL
657,FAIL
658,FAIL
659,FAIL
660,FAIL
661,FAIL
662,FAIL
663,FAIL
664,FAIL
665,FAIL
666,FAIL
667,FAIL
668,FAIL
669,FAIL
670,FAIL
671,FAIL
672,FAIL
673,FAIL
674,FAIL
675,FAIL
676,FAIL
677,FAIL
678,LIVE
679,LIVE
680,LIVE
694,LIVE
695,FAIL
696,FAIL
697,FAIL
698,FAIL
699,FAIL
700,FAIL
701,FAIL
702,FAIL
703,LIVE
704,LIVE
705,FAIL
