CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
1371,1,1,41,65,65,41,38,3,0,549,65
56482,2,2,173,314,314,214,77,121,22,376,379
128126,3,2,47,349,349,261,118,249,47,329,728
129761,4,2,7,21,21,268,122,252,47,322,749
168662,5,3,7,256,256,275,159,334,65,315,1005
213475,6,3,5,266,266,280,203,418,84,310,1271
268546,7,3,25,301,301,305,278,493,105,285,1572
295438,8,3,7,138,138,312,308,532,117,278,1710
328730,9,3,1,215,215,313,371,575,133,277,1925
330434,10,3,0,21,21,313,375,578,133,277,1946
390175,11,4,35,373,373,348,436,717,160,242,2319
442678,12,4,5,276,276,353,486,803,184,237,2595
445343,13,4,0,21,21,353,490,806,184,237,2616
493179,14,5,31,292,292,384,556,906,207,206,2908
494860,15,5,0,21,21,384,556,913,207,206,2929
496546,16,5,0,21,21,384,557,916,207,206,2950
538193,17,6,4,288,288,388,610,1007,227,202,3238
575279,18,6,12,229,229,400,665,1081,243,190,3467
577584,19,6,0,21,21,400,669,1084,243,190,3488
579864,20,7,0,21,21,400,670,1087,243,190,3509
582397,21,9,0,21,21,400,674,1090,243,190,3530
586579,22,10,6,77,77,406,691,1111,255,184,3607
640140,23,18,10,299,299,416,743,1217,276,174,3906
641499,24,23,6,56,56,422,761,1228,277,168,3962
644381,25,120,0,21,21,422,765,1231,277,168,3983
647343,26,126,1,20,20,423,769,1234,278,167,4003
655034,27,147,2,61,61,425,780,1253,283,165,4064
